Date : 2026-01-27 14:07:57
Directory : /Users/tjarkgomolla/Development/Flutter/pixel_quest
Total : 190 files,  17078 codes, 2811 comments, 2963 blanks, all 22852 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| lib/game/menu/inventory                                                                                             |          1 |        132 |         23 |         18 |        173 |
| lib/game/menu/widgets                                                                                               |          6 |        785 |        103 |        145 |      1,033 |
| lib/game/settings                                                                                                   |          2 |        279 |         32 |         44 |        355 |
| lib/game/shop                                                                                                       |          1 |         33 |          1 |          6 |         40 |
| lib/game/traps                                                                                                      |         17 |      1,723 |        353 |        395 |      2,471 |
| lib/game/utils                                                                                                      |         24 |      1,681 |        558 |        325 |      2,564 |
| lib/l10n                                                                                                            |          4 |        290 |        230 |        145 |        665 |
| lib/splash                                                                                                          |          7 |        313 |         12 |         43 |        368 |
| lib/splash (Files)                                                                                                  |          1 |         62 |          5 |          8 |         75 |
| lib/splash/flutter extensions                                                                                       |          2 |         16 |          0 |          5 |         21 |
| lib/splash/widgets                                                                                                  |          4 |        235 |          7 |         30 |        272 |
| linux                                                                                                               |          9 |        330 |         37 |         92 |        459 |
| linux (Files)                                                                                                       |          1 |        104 |          0 |         25 |        129 |
| linux/flutter                                                                                                       |          4 |        110 |          9 |         27 |        146 |
| linux/runner                                                                                                        |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                               |          7 |        483 |          6 |         27 |        516 |
| macos (Files)                                                                                                       |          1 |         32 |          1 |         10 |         43 |
| macos/Flutter                                                                                                       |          1 |         10 |          3 |          4 |         17 |
| macos/Runner                                                                                                        |          4 |        434 |          0 |          9 |        443 |
| macos/Runner (Files)                                                                                                |          2 |         23 |          0 |          7 |         30 |
| macos/Runner/Assets.xcassets                                                                                        |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                     |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                             |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                   |          1 |          7 |          2 |          4 |         13 |
| web                                                                                                                 |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                             |         14 |        679 |         94 |        188 |        961 |
| windows (Files)                                                                                                     |          1 |         89 |          0 |         20 |        109 |
| windows/flutter                                                                                                     |          4 |        128 |          9 |         29 |        166 |
| windows/runner                                                                                                      |          9 |        462 |         85 |        139 |        686 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                            | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/README.md                                                       | Markdown       |         10 |          0 |          7 |         17 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/analysis_options.yaml                                           | YAML           |          3 |         22 |          4 |         29 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/debug/AndroidManifest.xml                       | XML            |          3 |          4 |          1 |          8 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/AndroidManifest.xml                        | XML            |         34 |         11 |          1 |         46 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/res/drawable-v21/launch_background.xml     | XML            |          4 |          7 |          2 |         13 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/res/drawable/launch_background.xml         | XML            |          4 |          7 |          2 |         13 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/res/values-night/styles.xml                | XML            |          9 |          9 |          1 |         19 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/res/values/styles.xml                      | XML            |          9 |          9 |          1 |         19 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/profile/AndroidManifest.xml                     | XML            |          3 |          4 |          1 |          8 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/android/gradle.properties                                       | Properties     |          3 |          0 |          1 |          4 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/android/gradle/wrapper/gradle-wrapper.properties                | Properties     |          5 |          0 |          1 |          6 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/data/characters.json                                     | JSON           |         26 |          0 |          0 |         26 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/data/levels.json                                         | JSON           |        172 |          0 |          0 |        172 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/data/worlds.json                                         | JSON           |         53 |          0 |          0 |         53 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_01.tmx                                       | XML            |        178 |          0 |          1 |        179 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_02.tmx                                       | XML            |        502 |          0 |          1 |        503 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_022.tmx                                      | XML            |        105 |          0 |          1 |        106 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_03.tmx                                       | XML            |        565 |          0 |          1 |        566 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_04.tmx                                       | XML            |        619 |          0 |          1 |        620 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_05.tmx                                       | XML            |        535 |          0 |          1 |        536 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_11.tmx                                       | XML            |        162 |          0 |          1 |        163 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_13.tmx                                       | XML            |        116 |          0 |          1 |        117 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_2-01.tmx                                     | XML            |         35 |          0 |          1 |         36 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_Tile.tmx                                     | XML            |         17 |          0 |          1 |         18 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_blank.tmx                                    | XML            |         34 |          0 |          1 |         35 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Menu_Foreground.tmx                                | XML            |         54 |          0 |          1 |         55 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Pixel Adventure.tsx                                | TypeScript JSX |          4 |          0 |          1 |          5 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Splash_Foreground.tmx                              | XML            |         32 |          0 |          1 |         33 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/devtools_options.yaml                                           | YAML           |          3 |          0 |          1 |          4 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Podfile                                                     | Ruby           |         31 |          3 |         10 |         44 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/AppDelegate.swift                                    | Swift          |         12 |          0 |          2 |         14 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json     | JSON           |        122 |          0 |          1 |        123 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json   | JSON           |         23 |          0 |          1 |         24 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md       | Markdown       |          3 |          0 |          2 |          5 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Base.lproj/LaunchScreen.storyboard                   | XML            |         36 |          1 |          1 |         38 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Base.lproj/Main.storyboard                           | XML            |         25 |          1 |          1 |         27 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/Runner-Bridging-Header.h                             | C++            |          1 |          0 |          1 |          2 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/RunnerTests/RunnerTests.swift                               | Swift          |          7 |          2 |          4 |         13 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/l10n.yaml                                                       | YAML           |          3 |          0 |          1 |          4 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/app_theme.dart                                              | Dart           |         85 |         15 |         17 |        117 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/audio/ambient_loop_emitter.dart                        | Dart           |         63 |         16 |         18 |         97 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/audio/ambient_loop_manager.dart                        | Dart           |         44 |         12 |         18 |         74 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/audio/audio_center.dart                                | Dart           |        280 |         52 |         86 |        418 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/audio/sounds.dart                                      | Dart           |         63 |          3 |         13 |         79 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/static/metadata/level_metadata.dart                    | Dart           |         52 |          0 |         10 |         62 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/static/metadata/world_metadata.dart                    | Dart           |         55 |          0 |         10 |         65 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/static/static_center.dart                              | Dart           |         23 |          3 |          7 |         33 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/storage/entities/level_entity.dart                     | Dart           |         35 |          0 |          8 |         43 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/storage/entities/settings_entity.dart                  | Dart           |         64 |          1 |          8 |         73 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/storage/entities/world_entity.dart                     | Dart           |         17 |          0 |          7 |         24 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/data/storage/storage_center.dart                            | Dart           |        173 |          9 |         27 |        209 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/animations/spotlight.dart                              | Dart           |         83 |         20 |         19 |        122 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/animations/star.dart                                   | Dart           |        101 |         25 |         23 |        149 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/checkpoints/checkpoint.dart                            | Dart           |         76 |         19 |         21 |        116 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/checkpoints/finish.dart                                | Dart           |         65 |         13 |         18 |         96 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/checkpoints/start.dart                                 | Dart           |         62 |         12 |         16 |         90 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/collision/collision.dart                               | Dart           |         43 |         13 |         11 |         67 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/collision/entity_collision.dart                        | Dart           |         12 |         15 |          6 |         33 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/collision/world_collision.dart                         | Dart           |         41 |         17 |         11 |         69 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/blue_bird.dart                                 | Dart           |        154 |         28 |         38 |        220 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/chicken.dart                                   | Dart           |        163 |         22 |         35 |        220 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/ghost.dart                                     | Dart           |        209 |         25 |         39 |        273 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/ghost_particle.dart                            | Dart           |         38 |         10 |         10 |         58 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/mushroom.dart                                  | Dart           |        148 |         25 |         36 |        209 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/plant.dart                                     | Dart           |        131 |         22 |         30 |        183 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/plant_bullet.dart                              | Dart           |         72 |         12 |         18 |        102 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/slime.dart                                     | Dart           |        161 |         23 |         37 |        221 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/slime_particle.dart                            | Dart           |         56 |         13 |         15 |         84 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/snail.dart                                     | Dart           |        260 |         39 |         57 |        356 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/trunk.dart                                     | Dart           |        255 |         48 |         56 |        359 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/trunk_bullet.dart                              | Dart           |         78 |         13 |         19 |        110 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/enemies/turtle.dart                                    | Dart           |        135 |         14 |         24 |        173 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/events/game_event_bus.dart                             | Dart           |         62 |         61 |         18 |        141 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/events/game_events.dart                                | Dart           |         31 |          0 |          8 |         39 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/game.dart                                              | Dart           |        203 |         32 |         46 |        281 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/game_router.dart                                       | Dart           |         28 |          0 |          4 |         32 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/game_settings.dart                                     | Dart           |         58 |          8 |          9 |         75 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/game_hud.dart                                      | Dart           |        190 |         22 |         29 |        241 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/mini map/entity_on_mini_map.dart                   | Dart           |         59 |         40 |         20 |        119 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/mini map/mini_map.dart                             | Dart           |        192 |         71 |         36 |        299 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/mini map/mini_map_arrow_layer.dart                 | Dart           |         59 |         24 |         13 |         96 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/mini map/mini_map_view.dart                        | Dart           |        154 |         53 |         40 |        247 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/hud/pause_page.dart                                    | Dart           |        116 |         18 |         25 |        159 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/level.dart                                       | Dart           |        690 |         98 |         96 |        884 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/loading/loading_dummy_character.dart             | Dart           |        105 |         21 |         32 |        158 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/loading/loading_overlay.dart                     | Dart           |        192 |         29 |         47 |        268 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/mobile controls/joystick.dart                    | Dart           |         90 |         13 |         17 |        120 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/mobile controls/jump_btn.dart                    | Dart           |         36 |          4 |          6 |         46 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/mobile controls/mobile_controls.dart             | Dart           |         74 |          7 |         18 |         99 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/player/player.dart                               | Dart           |        470 |         91 |        103 |        664 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/player/player_effects.dart                       | Dart           |        131 |         41 |         38 |        210 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/player/player_hitbox_position_provider.dart.dart | Dart           |         11 |          6 |          5 |         22 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/level/player/player_input.dart                         | Dart           |         65 |         13 |         13 |         91 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/inventory/inventory_page.dart                     | Dart           |        132 |         23 |         18 |        173 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/menu_page.dart                                    | Dart           |        249 |         26 |         44 |        319 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/character_bio.dart                        | Dart           |         79 |         12 |         23 |        114 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/character_picker.dart                     | Dart           |        262 |         22 |         31 |        315 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/level_grid.dart                           | Dart           |         86 |          7 |         17 |        110 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/level_tile.dart                           | Dart           |        127 |         12 |         24 |        163 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/menu_dummy_character.dart                 | Dart           |        130 |         40 |         30 |        200 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/menu_top_bar.dart                         | Dart           |        101 |         10 |         20 |        131 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/settings/confirm_page.dart                             | Dart           |         69 |         12 |         14 |         95 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/settings/settings_page.dart                            | Dart           |        210 |         20 |         30 |        260 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/shop/shop_page.dart                                    | Dart           |         33 |          1 |          6 |         40 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/air_particle.dart                                | Dart           |         72 |         20 |         22 |        114 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/arrow_up.dart                                    | Dart           |         89 |         14 |         19 |        122 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fan.dart                                         | Dart           |         74 |         17 |         17 |        108 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fan_air_stream.dart                              | Dart           |        139 |         20 |         27 |        186 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fire.dart                                        | Dart           |         61 |         16 |         14 |         91 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fire_trap.dart                                   | Dart           |        107 |         30 |         29 |        166 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fruit.dart                                       | Dart           |         78 |         16 |         19 |        113 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/moving_platform.dart                             | Dart           |        163 |         27 |         37 |        227 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/rock_head.dart                                   | Dart           |        139 |         24 |         30 |        193 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/saw.dart                                         | Dart           |        141 |         26 |         25 |        192 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/saw_circle_component.dart                        | Dart           |        123 |         36 |         28 |        187 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/saw_circle_single_saw.dart                       | Dart           |         60 |         17 |         13 |         90 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spike_head.dart                                  | Dart           |        153 |         17 |         30 |        200 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spiked_ball.dart                                 | Dart           |         51 |         11 |         14 |         76 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spiked_ball_component.dart                       | Dart           |        135 |         27 |         35 |        197 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spikes.dart                                      | Dart           |         65 |         17 |         15 |         97 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/trampoline.dart                                  | Dart           |         73 |         18 |         21 |        112 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/animation_state.dart                             | Dart           |          5 |          5 |          1 |         11 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/arrow_indicator.dart                             | Dart           |         28 |          4 |          8 |         40 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/background_parallax.dart                         | Dart           |        108 |          7 |         14 |        129 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/button.dart                                      | Dart           |        567 |        260 |        105 |        932 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/camera_culling.dart                              | Dart           |         11 |          7 |          2 |         20 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/cancelable_effects.dart                          | Dart           |         39 |         57 |         13 |        109 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/corner_outline.dart                              | Dart           |         44 |          6 |         11 |         61 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/curves.dart                                      | Dart           |         10 |          0 |          3 |         13 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/debug_components.dart                            | Dart           |         35 |         23 |          6 |         64 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dialog_container.dart                            | Dart           |        138 |         25 |         22 |        185 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dialog_page.dart                                 | Dart           |         55 |         13 |         10 |         78 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dots_indicator.dart                              | Dart           |         70 |         10 |         14 |         94 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dummy_character.dart                             | Dart           |         49 |         24 |         10 |         83 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/game_safe_padding.dart                           | Dart           |         13 |          0 |          4 |         17 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/grid.dart                                        | Dart           |         56 |         41 |         10 |        107 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/input_blocker.dart                               | Dart           |         25 |          4 |          8 |         37 |
| /Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/load_sprites.dart                                | Dart           |         49 |         14 |          7 |         70 |
